0 0
11 11
22 23
33 35
43 46
53 57
62 68
70 79
78 90
86 100
93 111
99 121
105 131
110 140
115 150
119 159
122 168
125 177
128 186
130 195
131 203
132 212
133 220
133 228
132 236
131 243
129 251
127 258
124 265
120 272
117 279
112 285
107 291
101 297
96 304
90 310
85 316
80 321
75 328
71 334
68 339
64 346
61 352
58 358
56 363
54 369
52 375
51 382
50 388
50 394
50 400
50 406
50 412
51 417
52 423
54 429
56 436
58 442
61 448
64 454
67 460
71 466
75 472
80 478
85 484
90 490
96 496
101 502
107 508
112 514
117 521
120 527
124 534
127 541
129 548
131 556
132 563
133 571
133 579
132 587
132 596
130 604
128 613
125 622
122 631
119 640
115 649
110 659
105 668
99 678
93 688
86 699
78 709
70 720
62 731
53 742
43 753
33 764
22 776
11 788
0 799
